Province,City,lat,lng,confirmed,deaths,recovered,,
Khyber Pakhtunkhwa,Total,0,0,180,3,2,,
Islamabad,Islamabad,33.69,73.0551,39,0,2,,
Gilgit-Baltistan,Gilgit,35.920007,74.313656,79,1,0,,
Gilgit-Baltistan,Sakardu,35.290278,75.644444,1,0,0,,
Gilgit-Baltistan,Chilas,35.412867,74.104068,0,0,0,,
Gilgit-Baltistan,Gakuch,36.176826,73.763834,0,0,0,,
Gilgit-Baltistan,Eidgah,35.347115,74.856317,0,0,0,,
Gilgit-Baltistan,Shigar,35.476716,75.705338,1,0,0,,
Gilgit-Baltistan,Others,0,1,26,0,3,,
Gilgit-Baltistan,Total,0,0,107,1,3,,
Federally Administered Tribal Areas,Parachinar,33.895672,70.098875,0,0,0,,
Balochistan,Quetta,30.184138,67.00141,7,0,0,,
Balochistan,Turbat,26.001224,63.048491,0,0,0,,
Balochistan,Chaman,30.917689,66.45259,0,0,0,,
Balochistan,Zhob,31.340817,69.449304,0,0,0,,
Balochistan,Gwadar,25.12163,62.325411,0,0,0,,
Balochistan,Dera Allahyar,28.373529,68.350778,0,0,0,,
Balochistan,Ziarat,30.382444,67.725624,0,0,0,,
Balochistan,Dera Murad Jamali,28.546568,68.223081,0,0,0,,
Balochistan,Uthal,25.807222,66.621944,0,0,0,,
Balochistan,Barkhan,29.897727,69.525584,0,0,0,,
Balochistan,Loralai,30.370512,68.597949,0,0,0,,
Balochistan,Dera Bugti,29.036188,69.158493,0,0,0,,
Balochistan,Kohlu,29.896505,69.253235,0,0,0,,
Balochistan,Khuzdar,27.738385,66.643365,0,0,0,,
Balochistan,Awaran,26.456768,65.231436,0,0,0,,
Balochistan,Qila Abdullah,30.728035,66.661174,0,0,0,,
Balochistan,Pishin,30.581762,66.994061,0,0,0,,
Balochistan,Qila Saifullah,30.700766,68.359843,0,0,0,,
Balochistan,Panjgir,26.971861,64.094594,0,0,0,,
Balochistan,Mastung,29.799656,66.845527,0,0,0,,
Balochistan,Kalat,29.026629,66.593607,0,0,0,,
Balochistan,Gandava,28.613207,67.485643,0,0,0,,
Balochistan,Kharan,28.584585,65.415007,0,0,0,,
Balochistan,Misa Khel Bazar,30.859443,69.82208,0,0,0,,
Balochistan,Sibi,29.542989,67.87726,0,0,0,,
Balochistan,Dalbandin,28.888456,64.406156,0,0,0,,
Balochistan,Taftan,28.957068,61.587622,12,0,0,,
Balochistan,Others,0,1,114,1,2,,
Balochistan,Total,0,0,133,1,2,,
Azad Kashmir,Bagh,33.981106,73.776084,0,0,0,,
Azad Kashmir,Kotli,33.518362,73.902203,0,0,0,,
Azad Kashmir,New Mirpur,33.147815,73.751867,0,0,0,,
Azad Kashmir,Rawala Kot,33.857816,73.760426,0,0,0,,
Azad Kashmir,Athmuqam,34.571733,73.897236,0,0,0,,
Azad Kashmir,Others,0,1,2,0,0,,
Azad Kashmir,Total,0,0,2,0,0,,
Pakistan,Total,0,0,1398,11,25,,
