	NO. OF QUARANTINE CENTRE W.R.T CORONA VIRUS	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	CompleteAddress	Lat	Long
168	T. T. Singh	Super Masali School Toba Road Near bus Stop Chak No.s 301-373/JB		24	72	All Utilities Available	Ready To Use		Super Masali School Toba Road Near bus Stop Chak No.s 301-373/JB T. T. Singh	30.7350797	72.2336672
169	T. T. Singh	Divisional Public School Tehsil Kamalia		25	50	All Utilities Available	Ready To Use		Divisional Public School Tehsil Kamalia T. T. Singh	30.7138712	72.6794918
170	T. T. Singh	Divisional Public School Kamalia		25	50	All Utilities Available	Ready To Use		Divisional Public School Kamalia T. T. Singh	30.7138712	72.6794918
171	T. T. Singh	GHS No. 1		45	135	All Utilities Available	Ready To Use		GHS No. 1 T. T. Singh	30.7284674	72.6524593
172	T. T. Singh	GHS No. 2		23	69	All Utilities Available	Ready To Use		GHS No. 2 T. T. Singh	30.7110847	72.6420567
173	T. T. Singh	GHS Nomania		20	60	All Utilities Available	Ready To Use		GHS Nomania T. T. Singh	30.7247788	72.6404577
174	T. T. Singh	PST College		85	255	All Utilities Available	Ready To Use		PST College T. T. Singh	30.7128451	72.6545938
175	T. T. Singh	GGWE College		40	120	All Utilities Available	Ready To Use		GGWE College T. T. Singh	0	0
176	T. T. Singh	GD College Railway Road		35	105	All Utilities Available	Ready To Use		GD College Railway Road T. T. Singh	30.9211516	72.4391998
177	T. T. Singh	Technical College 711 GB		42	126	All Utilities Available	Ready To Use		Technical College 711 GB T. T. Singh	30.9650854	72.4486354
178	T. T. Singh	Commerce College 711 GB		28	84	All Utilities Available	Ready To Use		Commerce College 711 GB T. T. Singh	30.05823	69.8446498
179	T. T. Singh	Poly Technical M Shah Road		22	66	All Utilities Available	Ready To Use		Poly Technical M Shah Road T. T. Singh	0	0
180	T. T. Singh	GHS Islamia		8	24	All Utilities Available	Ready To Use		GHS Islamia T. T. Singh	30.9856667	72.4591416
181	T. T. Singh	GHS 715		10	30	All Utilities Available	Ready To Use		GHS 715 T. T. Singh	30.7035912	72.570172
182	T. T. Singh	GMS 714		6	18	All Utilities Available	Ready To Use		GMS 714 T. T. Singh	30.7109425	72.5920503
183	T. T. Singh	GHS 739		10	30	All Utilities Available	Ready To Use		GHS 739 T. T. Singh	12.8682063	74.8403464
184	T. T. Singh	GHS 736		10	30	All Utilities Available	Ready To Use		GHS 736 T. T. Singh	12.8682063	74.8403464
185	T. T. Singh	GGHS 737		9	27	All Utilities Available	Ready To Use		GGHS 737 T. T. Singh	0	0
186	T. T. Singh	GHS Mohail		12	36	All Utilities Available	Ready To Use		GHS Mohail T. T. Singh	0	0
187	T. T. Singh	GHS Sheikh Burhan		10	30	All Utilities Available	Ready To Use		GHS Sheikh Burhan T. T. Singh	0	0
188	T. T. Singh	GHS Qadar Baksh		10	30	All Utilities Available	Ready To Use		GHS Qadar Baksh T. T. Singh	0	0
189	T. T. Singh	Model GHS		40	120	All Utilities Available	Ready To Use		Model GHS T. T. Singh	30.9734565	72.4757339
190	T. T. Singh	GGHS Lab		35	105	All Utilities Available	Ready To Use		GGHS Lab T. T. Singh	30.9725536	72.469701
191	T. T. Singh	GGHS Kachi Basti		20	60	All Utilities Available	Ready To Use		GGHS Kachi Basti T. T. Singh	30.9717758	72.4712754
192	T. T. Singh	DPS		15	45	All Utilities Available	Ready To Use		DPS T. T. Singh	30.9748716	72.4729624
193	T. T. Singh	GESB 705		6	18	All Utilities Available	Ready To Use		GESB 705 T. T. Singh	30.7351479	72.5833119
194	T. T. Singh	GESG 705		6	18	All Utilities Available	Ready To Use		GESG 705 T. T. Singh	30.7351479	72.5833119
195	T. T. Singh	GESG 712		8	24	All Utilities Available	Ready To Use		GESG 712 T. T. Singh	30.6859471	72.6578505
196	T. T. Singh	Govt. Ghousia Fareed Baksh Degree Science College 333/GB, Tehsil Pirmahal		24	48	All Utilities Available	Ready To Use		Govt. Ghousia Fareed Baksh Degree Science College 333/GB, Tehsil Pirmahal T. T. Singh	30.7999117	72.3816328
197	T. T. Singh	Govt. Degree College (W) 721/GB, Tehsil Pirmahal		34	68	All Utilities Available	Ready To Use		Govt. Degree College (W) 721/GB, Tehsil Pirmahal T. T. Singh	30.6650831	72.4688558
198	T. T. Singh	Govt. Ghousia Fareed Baksh Degree Science College 333/GB		24	48	All Utilities Available	Ready To Use		Govt. Ghousia Fareed Baksh Degree Science College 333/GB T. T. Singh	30.7967759	72.3847874
199	T. T. Singh	Govt. Degree College (Women) 721 GB		34	68	All Utilities Available	Ready To Use		Govt. Degree College (Women) 721 GB T. T. Singh	30.6650831	72.4688558
200	T. T. Singh	Govt. High School No. 1 Pirmahal		38	76	All Utilities Available	Ready To Use		Govt. High School No. 1 Pirmahal T. T. Singh	30.769718	72.4350914
201	T. T. Singh	Union Council No. 72 Plot C		3	6	All Utilities Available	Ready To Use		Union Council No. 72 Plot C T. T. Singh	0	0
202	T. T. Singh	Union Council No. 71 Chak No. 319 GB		3	6	All Utilities Available	Ready To Use		Union Council No. 71 Chak No. 319 GB T. T. Singh	0	0
203	Total		1046	6927	18829					46.3144754	11.0480288
204	Gujranwala	Muslim Hands School/College, Sialkot Road Sohdra, Wazirabad		82	500	All Utilities Available	Capacity 1 person / 1 room facility Plan A : 182 capacity Plan B : 453 persons which can be extended to 500		Muslim Hands School/College, Sialkot Road Sohdra, Wazirabad Gujranwala	32.4431516	74.170521
205	Gujranwala	60 Hotels	1000		1000				60 Hotels Gujranwala	31.3953863	-103.5013639
206	Gujrat	New Admin Block NSMC University of Gujrat		332	1000	All Utilities Available			New Admin Block NSMC University of Gujrat Gujrat	32.6355296	74.1569802
207	Gujrat	18 Hotels	231		231				18 Hotels Gujrat	31.3953863	-103.5013639
208	Hafizabad	Police Petroling Sheikhupura Road Hafizabads		8	40	Food Services, Laundary, Dispensary, Elecricity with backup & boundary wall inplace	facility is 10 km from Main Town &  Facility ready for accomodation		Police Petroling Sheikhupura Road Hafizabads Hafizabad	0	0
209	Hafizabad	Government degree College (Women) Sharqi Side Hafizabad		28	87	All Utilities Available			Government degree College (Women) Sharqi Side Hafizabad Hafizabad	32.0751517	73.650192
210	Hafizabad	Degree College for Boys Pindi Bhattian		33	87		The Centers are located about 2 Km away from the city Pindi Bhattian, well secured and easily accessible.		Degree College for Boys Pindi Bhattian Hafizabad	32.0602602	73.66826
211	Hafizabad	Degree College for Girls Pindi Bhattian		33	87		DO		Degree College for Girls Pindi Bhattian Hafizabad	32.1253348	73.7490337
212	MB Din	13 Hotels	65		65				13 Hotels MB Din	0	0
213	MB Din	Girls College Kadhar M.B.Din		25	250	Food Services, Medical,  Elecricity with backup, Security, sewage, Ambulance			Girls College Kadhar M.B.Din MB Din	32.422835	73.478966
214	MB Din	Official Residences and Flats – New DHQ Hospital MB Din		350	500	Clean drinking water, closed & secure premises, Electricity, Wash Rooms,	Issues: Matter is being taken up with GEPCO authorities for immediate electricity connection Status: Electricity required. Otherwise ready		Official Residences and Flats – New DHQ Hospital MB Din MB Din	32.5824145	73.4888272
215	MB Din	BHU Marala &Residences		50	50		DO		BHU Marala &Residences MB Din	0	0
216	Narowal	Univerity of Narowal		153	356	Yes	7 Hall		Univerity of Narowal Narowal	32.1037714	74.8784105
217	Narowal	Kartarpur Coridor		1	2	Yes	Ready		Kartarpur Coridor Narowal	0	0
218	Narowal	Diagnostic Center NarowalUnder GINUM (Isolation), DHQ Hospital Narowal		10	10	Yes	Ready		Diagnostic Center NarowalUnder GINUM (Isolation), DHQ Hospital Narowal Narowal	0	0
219	Narowal	UET Narowal		188	330	Yes			UET Narowal Narowal	32.1009752	74.872238
220	Narowal	2 Hotels	19		19				2 Hotels Narowal	0	0
221	Sialkot	9 Hotels	258		258				9 Hotels Sialkot	0	0
222	Sialkot	Qasim Boys Hostel  Khawaja Safdar Medical College Sialkot		28	56	Electorcity, Water Supply, Wash Room Adequate Drinking Water, Trained, Health Staff, IEC Material, Secuirty Basic Medical Equipment, Backup Light	Under Process		Qasim Boys Hostel  Khawaja Safdar Medical College Sialkot Sialkot	32.5047433	74.5473349
223	Sialkot	Khalid Boys Hostel Khawaja Safdar Medical College Sialkot		28	56	DO	Under Process		Khalid Boys Hostel Khawaja Safdar Medical College Sialkot Sialkot	32.5040744	74.5487777
224	Sialkot	Allama Iqbal Women College Khadim Ali Raod Sialkot		55	110	DO	Under Process		Allama Iqbal Women College Khadim Ali Raod Sialkot Sialkot	32.4970193	74.5265681
225	Sialkot	Girls Hostel Govt. Women Univeristy Sialkot		70	210	DO	Under Process		Girls Hostel Govt. Women Univeristy Sialkot Sialkot	32.497932	74.5211971
226	Sialkot	Government Girls Degree College Orah		10	150	DO	Under Process		Government Girls Degree College Orah Sialkot	32.4979676	74.5211971
227	Sialkot	Government Girls Degree College Mundekey Goraya		10	150	DO	Under Process		Government Girls Degree College Mundekey Goraya Sialkot	31.7960761	74.038617
228	Sialkot	7 Colleges outside urban				One Bus Capacity i.e. 48 Persons quarantine in each of 7 colleges can be readied in 36 hours.			7 Colleges outside urban Sialkot	0	0
229	Sialkot	Shelter Home THQ Daska Sialkot		2	80	DO	Under Process		Shelter Home THQ Daska Sialkot Sialkot	32.3342276	74.3426884
230	Total		1573	1496	5684					46.3144754	11.0480288
231	Lahore	UET Campus, Kala Shah Kaku		147	418	Essentially required facilities available			UET Campus, Kala Shah Kaku Lahore	31.694287	74.246693
232	Lahore	UET Campus, Kala Shah Kaku		90	270	DO			UET Campus, Kala Shah Kaku Lahore	31.694287	74.246693
233	Lahore	Boys hostel GCU Campus Kala Shah Kaku		120	240	Water, 02 Electric water coolers + 01 Water Filteration Unit,Electricity, 01 Standby Generator	Common Wash Rooms Blocks		Boys hostel GCU Campus Kala Shah Kaku Lahore	31.6897891	74.2489256
234	Lahore	Boys Hostel, UET Campus Kala Shah Kaku		87	219	Water, Electricity	Most rooms have attached washrooms, Some rooms share washrooms. Both Campuses identified for persons to be quarantined in Distt Lahore		Boys Hostel, UET Campus Kala Shah Kaku Lahore	31.694265	74.2488946
235	Lahore	Punjab Judicial Academy, Kala Shah Kaku		120	250	DO			Punjab Judicial Academy, Kala Shah Kaku Lahore	31.5618943	74.3130013
236	Lahore	GCU Campus, Kala Shah Kaku		90	270	DO			GCU Campus, Kala Shah Kaku Lahore	31.7384204	74.190413
237	Lahore	PARK LANE HOTEL, 107-B-3 M.M.ALAM ROAD GULBERG III LHR	100		100				PARK LANE HOTEL, 107-B-3 M.M.ALAM ROAD GULBERG III LHR Lahore	31.5035682	74.3471562
238	Lahore	INDIGO HEIGHTS HOTELS SUITS, 3-C3 NOOR JHAN ROAD GULBERG III LHR	80		80				INDIGO HEIGHTS HOTELS SUITS, 3-C3 NOOR JHAN ROAD GULBERG III LHR Lahore	31.5071266	74.3462323
239	Lahore	SUNFORT HOTEL, 72-D/1 LIBERTY COMMERICAIL ZONE GULBERG III LHR	70		70				SUNFORT HOTEL, 72-D/1 LIBERTY COMMERICAIL ZONE GULBERG III LHR Lahore	31.5117151	74.3410663
240	Lahore	SMART HOTEL, 36 LIBERTY MARKET GULBERG III LHR	70		70				SMART HOTEL, 36 LIBERTY MARKET GULBERG III LHR Lahore	31.5099432	74.3409332
241	Lahore	FALETTI’S GRAND HOTEL, 32/C-3 GULBERG III LHR	80		80				FALETTI’S GRAND HOTEL, 32/C-3 GULBERG III LHR Lahore	31.5044037	74.3456857
