	NO. OF QUARANTINE CENTRE W.R.T CORONA VIRUS	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	CompleteAddress	Lat	Long
299	Nankana Sahib	Rural Health Centre Muhammad Pura		8	50	DO			Rural Health Centre Muhammad Pura Nankana Sahib	31.622	73.6264997
300	Nankana Sahib	Govt. Islamia Degree College for Boys Sangla Hill		13	50	DO			Govt. Islamia Degree College for Boys Sangla Hill Nankana Sahib	31.7160127	73.3634622
301	Nankana Sahib	Govt. Elementary School for Boys Sangla Hill		8	24	DO			Govt. Elementary School for Boys Sangla Hill Nankana Sahib	31.7647829	73.4248086
302	Nankana Sahib	Grand Height Hotel Railway Road City	5		5				Grand Height Hotel Railway Road City Nankana Sahib	31.4486642	73.7005558
303	Nankana Sahib	Khawaja Hotel, Lori Adda Nankana Sahib	12		12				Khawaja Hotel, Lori Adda Nankana Sahib Nankana Sahib	31.4510723	73.7072087
304	Nankana Sahib	Banda Restaurant	2		2				Banda Restaurant Nankana Sahib	41.3845148	2.1458994
305	Nankana Sahib	Al-Fateh Restaurant	14		14				Al-Fateh Restaurant Nankana Sahib	24.811263	46.8597697
306	Nankana Sahib	Govt. Guru Nanak Degree College for Women NNS		14	50				Govt. Guru Nanak Degree College for Women NNS Nankana Sahib	31.45011	73.7043189
307	Nankana Sahib	Gurdawara Tambu Sahib	160	640					Gurdawara Tambu Sahib Nankana Sahib	31.448305	73.6990223
308	Nankana Sahib	Vocational Training Institute Panwan		10	50				Vocational Training Institute Panwan Nankana Sahib	31.5907755	73.5921144
309	Nankana Sahib	Govt. Girls High School Kot Nizamdin Chak No.184/RB		8	50				Govt. Girls High School Kot Nizamdin Chak No.184/RB Nankana Sahib	31.524565	73.4941403
310	Nankana Sahib	Office City Model Town		8	32				Office City Model Town Nankana Sahib	31.4239138	73.6562112
311	Nankana Sahib	Gurdwara Janam Asthan, Nankana Sahib	400		1200				Gurdwara Janam Asthan, Nankana Sahib Nankana Sahib	31.4456139	73.6958984
312	Nankana Sahib	Mughal Marriage Hall, Near Mangtanwala Road Chowk Bai Paas	4		25				Mughal Marriage Hall, Near Mangtanwala Road Chowk Bai Paas Nankana Sahib	31.4502744	73.7128328
313	Nankana Sahib	Nabi Noor Marriage Hall (Marki), PSO Pump to Bai Paas Link More Near Chitti Kothi Nankana Sahib	1		50				Nabi Noor Marriage Hall (Marki), PSO Pump to Bai Paas Link More Near Chitti Kothi Nankana Sahib Nankana Sahib	31.4328432	73.6411226
314	Nankana Sahib	Qasar-e-Noor Marriage Hall, Near Lori Adda Nankana Sahib	1		25				Qasar-e-Noor Marriage Hall, Near Lori Adda Nankana Sahib Nankana Sahib	31.5326534	73.4839548
315	Nankana Sahib	Khalid Unit (Marki), Near Lori Adda Nankana Sahib	1		30				Khalid Unit (Marki), Near Lori Adda Nankana Sahib Nankana Sahib	31.4525196	73.7114857
316	Nankana Sahib	Humma Marriage Hall, Shora Kothi Road Near Nadra Office Nankana Sahib	3		20				Humma Marriage Hall, Shora Kothi Road Near Nadra Office Nankana Sahib Nankana Sahib	31.4480267	73.7059188
317	Nankana Sahib	Singham Mirrage Hall, Railway Road Near District Accounts Office	1		15				Singham Mirrage Hall, Railway Road Near District Accounts Office Nankana Sahib	31.4474037	73.6987597
318	Nankana Sahib	Al Janat Marriage Hall, Near Chungi No. 5 Nankana Sahib	3		3				Al Janat Marriage Hall, Near Chungi No. 5 Nankana Sahib Nankana Sahib	0	0
319	Nankana Sahib	Paradise Marriage Hall,	1		20				Paradise Marriage Hall, Nankana Sahib	31.6991991	73.380672
320	Nankana Sahib	Hakoomat Marriage Hall, Bucheki	1		15				Hakoomat Marriage Hall, Bucheki Nankana Sahib	31.3084642	73.6440134
321	Nankana Sahib	Gold Marriage Hall, Jaranwala Road Bucheki	5		45				Gold Marriage Hall, Jaranwala Road Bucheki Nankana Sahib	31.308627	73.6671002
322	Nankana Sahib	Qasim Marriage Hall, Lahore Road Mandi Faizabad	4		30				Qasim Marriage Hall, Lahore Road Mandi Faizabad Nankana Sahib	0	0
323	Nankana Sahib	Al Madina Marriage Hall, Lahore Road Mandi Faizabad	1		25				Al Madina Marriage Hall, Lahore Road Mandi Faizabad Nankana Sahib	31.412399	73.9813852
324	Nankana Sahib	Shehnai Marriage Hall, Jaranwala 240 More Road Syed Wala	2		2				Shehnai Marriage Hall, Jaranwala 240 More Road Syed Wala Nankana Sahib	31.6105727	74.2522768
325	Nankana Sahib	Bhandhan Marriage Hall, Warburton	6		35				Bhandhan Marriage Hall, Warburton Nankana Sahib	31.5412281	73.8305111
326	Nankana Sahib	Al Harm (Marki), Warburton	1		30				Al Harm (Marki), Warburton Nankana Sahib	31.5330402	73.8347016
327	Nankana Sahib	Madina Marriage Hall, Warburton	3		35				Madina Marriage Hall, Warburton Nankana Sahib	31.5364435	73.8310356
328	Nankana Sahib	Virk Marriage Hall, Warburton	5		50				Virk Marriage Hall, Warburton Nankana Sahib	31.5404072	73.8256292
329	Nankana Sahib	Ghousia Marriage Hall, More Khunda	3		20				Ghousia Marriage Hall, More Khunda Nankana Sahib	31.314201	73.797834
330	Nankana Sahib	Taaj Mahal Garden, More Khunda	4		30				Taaj Mahal Garden, More Khunda Nankana Sahib	31.314201	73.797834
331	Nankana Sahib	Al Najaf (Marki), More Khunda	1		25				Al Najaf (Marki), More Khunda Nankana Sahib	31.3211789	73.7910446
332	Nankana Sahib	Marhaba Marriage Hall, More Khunda	5		30				Marhaba Marriage Hall, More Khunda Nankana Sahib	31.3239427	73.7956041
333	Nankana Sahib	Paragon Marriage, More Khunda Hall	4		20				Paragon Marriage, More Khunda Hall Nankana Sahib	31.2915428	73.8112063
334	Nankana Sahib	TajMehal Marriage Hall, GhullayBajway Road, Sangla Hill	6		60				TajMehal Marriage Hall, GhullayBajway Road, Sangla Hill Nankana Sahib	31.7238766	73.3789734
335	Nankana Sahib	Shugan Marriage Hall, Faisalabad Road, Sangla Hill.	6		50				Shugan Marriage Hall, Faisalabad Road, Sangla Hill. Nankana Sahib	31.6989318	73.3689733
336	Nankana Sahib	Royal Palace Marriage Hall, Safdarabad Road, Sangla Hill	3		50				Royal Palace Marriage Hall, Safdarabad Road, Sangla Hill Nankana Sahib	31.7111765	73.3671676
337	Nankana Sahib	Dubi Palace Marriage Hall, MarhBalochan, Sangla Hill.	5		25				Dubi Palace Marriage Hall, MarhBalochan, Sangla Hill. Nankana Sahib	31.787041	73.4381544
338	Sheikhupura	Taj Mehal Hotal Lahore Road	9		9				Taj Mehal Hotal Lahore Road Sheikhupura	31.7079471	74.0023351
339	Sheikhupura	Sultan Grand Hotal Faislabad Road Bypass	9		9				Sultan Grand Hotal Faislabad Road Bypass Sheikhupura	31.7017344	74.0142824
340	Sheikhupura	Sun Shine Hotel GT Road	8		8				Sun Shine Hotel GT Road Sheikhupura	0	0
341	Sheikhupura	Hotel Lahore IN, GT Road	15		15				Hotel Lahore IN, GT Road Sheikhupura	31.6619022	74.264049
342	Sheikhupura	Park View Hotel,Dosako Chowk, Sagian	15		15				Park View Hotel,Dosako Chowk, Sagian Sheikhupura	31.6190265	74.2480232
343	Sheikhupura	Motorway IN Hotel, Saeed Chowk, Village Baddu	15		15				Motorway IN Hotel, Saeed Chowk, Village Baddu Sheikhupura	31.679642	74.0208317
344	Sheikhupura	Lahore Sports Country Club Narowal Rd Muridke	55		55				Lahore Sports Country Club Narowal Rd Muridke Sheikhupura	31.8255444	74.0968767
345	Sheikhupura	UHS Campus, Kala shah kaku		130	500	All Utilities Available			UHS Campus, Kala shah kaku Sheikhupura	31.6954576	74.2474818
346	Sheikhupura	Govt Post Graduate College for Women Sheikhupura		17	51	Water, Electricity, Gas	Washroom Block with 6 Washroom and 06 toilets. Building needs extensive repairs		Govt Post Graduate College for Women Sheikhupura Sheikhupura	31.7087885	73.9710504
347	Sheikhupura	Govt Post Graduate College for Boys Sheikhupura		10	30	Water, Electricity, Gas	Washroom Block with 08 Washroom and 08 toilets. Building needs extensive repairs.		Govt Post Graduate College for Boys Sheikhupura Sheikhupura	31.7138248	73.9584193
348	Sheikhupura	Govt. Post Graduate College for Boys Skp		40	240				Govt. Post Graduate College for Boys Skp Sheikhupura	31.7138248	73.9584193
349	Sheikhupura	Govt. College for Women Skp		30	180				Govt. College for Women Skp Sheikhupura	0	0
350	Sheikhupura	Govt. High Secondary School, Skp		35	150				Govt. High Secondary School, Skp Sheikhupura	31.7092316	73.9718869
351	Sheikhupura	Govt. Boys College		8	50				Govt. Boys College Sheikhupura	31.7138248	73.9584193
352	Sheikhupura	RHC Jandiala Sher Khan		5	5				RHC Jandiala Sher Khan Sheikhupura	31.8262441	73.9084481
353	Sheikhupura	Govt. Boys College Safdarabad		6	50				Govt. Boys College Safdarabad Sheikhupura	31.7270167	73.5705601
354	Total		2719	2507	9022						
355	Multan	Worker Welfare Complex, Industrial Estate-II, Multan		492	1384	Electricity, Water, Sui Gas, Boundry Wall, Bathroom			Worker Welfare Complex, Industrial Estate-II, Multan Multan	0	0
356	Multan	Nawaz Sharif Agriculture University, Multan		196	452	Electricity, Water, Sui Gas, Boundry Wall, Bathroom			Nawaz Sharif Agriculture University, Multan Multan	30.1597767	71.4480423
357	Multan	Ramada		108	108	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Ramada Multan	30.1947882	71.4524341
358	Multan	New DHQ Hospital, Multan		100	100	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		New DHQ Hospital, Multan Multan	30.9710511	70.9566556
359	Multan	Avari Express	75		75	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Avari Express Multan	30.195341	71.4384932
360	Multan	Sindbad Hotel	49		49	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Sindbad Hotel Multan	30.200982	71.4506649
361	Multan	City Hospital		45	45	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		City Hospital Multan	30.211413	71.4675541
362	Multan	Hotel One	45		45	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Hotel One Multan	30.2114126	71.4522331
363	Multan	Avalon Hotel	44		44	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Avalon Hotel Multan	30.2182268	71.4684173
364	Multan	Fatima Hospital		34	34	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Fatima Hospital Multan	30.211151	71.485175
365	Multan	Medicare Hospital		33	33	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Medicare Hospital Multan	30.192775	71.4439663
366	Multan	S-Chalet Hotel	29		29	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		S-Chalet Hotel Multan	30.2046824	71.4306488
367	Multan	DE-Shalimar	28		28	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		DE-Shalimar Multan	30.1961687	71.4466463
368	Multan	The Arina Hotel	27		27	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		The Arina Hotel Multan	30.293745	71.5047759
369	Multan	Fiseta Inn	24		24	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Fiseta Inn Multan	30.1966239	71.4526008
370	Multan	Hotel Grace Inn	23		23	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Hotel Grace Inn Multan	30.1992933	71.447316
371	Multan	Grand Hotel	22		22	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Grand Hotel Multan	30.203653	71.456483
372	Multan	Azeem Hospital		16	16	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Azeem Hospital Multan	30.195043	71.44877
373	Multan	New Pride Hotel	15		15	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		New Pride Hotel Multan	30.2024391	71.4474898
374	Multan	Khursheed Rafiq Hospital		14	14	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Khursheed Rafiq Hospital Multan	30.2101989	71.5001231
375	Multan	Ibn-e-Sena Hospital		12	12	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Ibn-e-Sena Hospital Multan	30.2216975	71.5628896
376	Multan	Family Hospital		11	11	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Family Hospital Multan	30.199881	71.4256998
377	Multan	Hotel S.R Loung	10		10	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Hotel S.R Loung Multan	30.1962552	71.4464676
378	Multan	Hotel Serina Palace	10		10	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Hotel Serina Palace Multan	30.1924184	71.4517876
379	Multan	Aimys Guest House	9		9	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Aimys Guest House Multan	30.1968773	71.4531826
380	Multan	Bling Hotel	8		8	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Bling Hotel Multan	30.2131544	71.4682761
381	Multan	Hotel Paradise Plus	7		7	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Hotel Paradise Plus Multan	30.2454462	71.4821319
382	Multan	Palase Hotel	20		20	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Palase Hotel Multan	30.2454462	71.4821319
383	Multan	Chansery Hotel	10		10	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Chansery Hotel Multan	30.191444	71.4496062
384	Multan	Pace IN Hotel	22		22	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Pace IN Hotel Multan	30.1939808	71.4516727
385	Multan	City Center Sweet	16		16	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		City Center Sweet Multan	30.186975	71.4339533
386	Multan	First Guest Hotel	22		22	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		First Guest Hotel Multan	30.1979129	71.4425304
387	Multan	Lord Laplave Guest House	20		20	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Lord Laplave Guest House Multan	30.1968161	71.4447483
388	Multan	New Lord In	10		10	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		New Lord In Multan	30.1980881	71.44434
389	Multan	TM Guest House	11		11	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		TM Guest House Multan	30.1954466	71.4462375
390	Multan	Exective Guest House	20		20	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Exective Guest House Multan	30.1956679	71.4438413
391	Multan	Sun Rise	18		18	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Sun Rise Multan	30.1748457	71.4051624
392	Multan	White Palce Hotel	10		10	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		White Palce Hotel Multan	30.1996004	71.4543908
393	Multan	Hotel Best One	20		20	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Hotel Best One Multan	30.195224	71.4466889
394	Multan	King Hotel	14		14	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		King Hotel Multan	30.195383	71.4467701
395	Multan	Kashmir Hotel	8		8	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Kashmir Hotel Multan	0	0
396	Multan	Mehran Hotel	24		24	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Mehran Hotel Multan	30.1852757	71.4430245
397	Multan	New Palace	8		8	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		New Palace Multan	30.1852756	71.4399944
398	Multan	Royal Palace	18		18	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Royal Plave Multan	30.1852756	71.4399944
399	Multan	Silver Sand	20		20	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Sliver Sand Multan	30.1823584	71.4400628
400	Multan	Multan Rest House	11		11	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Multan Rest House Multan	30.1617593	71.4718694
401	Multan	Mangol Hotel	15		15	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Mangol Hotel Multan	30.1903839	71.4502293
402	Multan	Multan Continental Hotel	24		24	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Multan Continental Hotel Multan	30.1979793	71.4724978
403	Multan	Shaheen Continental	14		14	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Shaheen Continental Multan	30.1998671	71.4539606
404	Multan	Al Fahad	11		11	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Al Fahad Multan	0	0
405	Multan	New Star Hotel	15		15	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		New Star Hotel Multan	30.2022934	71.4487509
406	Multan	Crown In	37		37	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Crown In Multan	30.2041214	71.4551083
407	Multan	Dove International	12		12	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Dove International Multan	30.2109578	71.5069718
408	Multan	Bhaul-din-Universty, BZU, Multan		2900	2900	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Bhaul-din-Universty, BZU, Multan Multan	30.2712092	71.5005633
409	Multan	Agriculture Universty		97	97	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Agriculture Universty Multan	30.1500186	71.4360376
410	Multan	Women Univerty (2 Campuses)		640	640	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Women Univerty (2 Campuses) Multan	30.1499997	71.3747513
411	Multan	Nishter Medical Universty, Hostel		500	500	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Nishter Medical Universty, Hostel Multan	30.2045543	71.441855
412	Khanewal	Commerce College Hostel Khanewal		18	36	Electricity, Water, Sui Gas, Boundry Wall, Bathroom			Commerce College Hostel Khanewal Khanewal	30.3038202	71.9377726
413	Khanewal	Boys College Post Graduate Khanewal		9	86	Electricity, Water, Sui Gas, Boundry Wall, Bathroom			Boys College Post Graduate Khanewal Khanewal	30.2959787	71.9234491
414	Khanewal	Girls College Hostel Khanewal		34	68	Electricity, Water, Sui Gas, Boundry Wall, Bathroom			Girls College Hostel Khanewal Khanewal	30.2959784	71.916883
415	Khanewal	Govt. Women degree college Jahanian		18	36	Electricity, Water, Sui Gas, Boundry Wall, Bathroom			Govt. Women degree college Jahanian Khanewal	30.035212	71.8109949
416	Khanewal	Boys College hostel Mian Channu		24	48	Electricity, Water, Sui Gas, Boundry Wall, Bathroom			Boys College hostel Mian Channu Khanewal	0	0
417	Khanewal	RHC Kukar Hata Kabirwala		7	14	Electricity, Water, Sui Gas, Boundry Wall, Bathroom			RHC Kukar Hata Kabirwala Khanewal	30.4044732	71.7596
418	Khanewal	RHC Sardar Pur		20	40	Electricity, Water, Sui Gas, Boundry Wall, Bathroom			RHC Sardar Pur Khanewal	30.5637966	71.7686271
419	Khanewal	DPS Mianchannu City		94	94	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		DPS Mianchannu City Khanewal	30.4490543	72.3557474
420	Khanewal	Khanewal Public School & College		91	91	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Khanewal Public School & College Khanewal	30.3192674	71.9268304
421	Khanewal	Govt. Model High School for Boys		67	67	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Govt. Model High School for Boys Khanewal	30.3192662	71.9115094
422	Khanewal	DPS Jahanian City		58	58	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		DPS Jahanian City Khanewal	30.0376454	71.8172404
423	Khanewal	Punjab College Jahanian		56	56	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Punjab College Jahanian Khanewal	30.0252506	71.81820687
424	Khanewal	Govt. Islamia High School		54	54	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Govt. Islamia High School Khanewal	30.2980183	71.9229895
425	Khanewal	Govt. Girls College Khanewal		48	48	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Govt. Girls College Khanewal Khanewal	30.3012512	71.9189393
426	Khanewal	Govt. Degree College Khanewal		40	40	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Govt. Degree College Khanewal Khanewal	30.2972278	71.922562
427	Khanewal	Govt. Public High School		35	35	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Govt. Public High School Khanewal	0	0
428	Khanewal	KPS Kabirwala City		35	35	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		KPS Kabirwala City Khanewal	30.3920947	71.857112
429	Khanewal	Govt. MC High School		32	32	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Govt. MC High School Khanewal	30.1624358	72.6846521
430	Khanewal	Dar-e-Arqam School Jahanian		32	32	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Dar-e-Arqam School Jahanian Khanewal	30.299249	71.9213655
431	Khanewal	Aspire College Jahanian		28	28	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Aspire College Jahanian Khanewal	0	0
432	Khanewal	Superior College Jahanian		28	28	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Superior College Jahanian Khanewal	30.0265733	71.810457
433	Khanewal	Govt. Degree College for Girls Jahanian		27	27	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Govt. Degree College for Girls Jahanian Khanewal	30.0265721	71.795136
434	Khanewal	UCMS (Universty) Khanewal Kohna		26	26	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		UCMS (Universty) Khanewal Kohna Khanewal	30.3291691	71.909294
435	Khanewal	Superior College Khanewal Boys		25	25	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Superior College Khanewal Boys Khanewal	30.3125953	71.919162
436	Khanewal	Superior College Khanewal Girls		25	25	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Superior College Khanewal Girls Khanewal	30.3124801	71.9182691
437	Khanewal	Govt. Boys College Hostel		24	24	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Govt. Boys College Hostel Khanewal	0	0
438	Khanewal	Govt. Commerce College for Boys		20	20	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Govt. Commerce College for Boys Khanewal	30.304426	71.9375748
439	Khanewal	Punjab College Khanewal		20	20	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Punjab College Khanewal Khanewal	30.3173486	71.9170119
440	Khanewal	Youngs Scholar School Boys Branch Gulberg		20	20	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Youngs Scholar School Boys Branch Gulberg Khanewal	30.305722	71.9417724
441	Khanewal	Science School Civil Line Khanewal		20	20	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Science School Civil Line Khanewal Khanewal	30.2990938	71.9190929
442	Khanewal	RHS Sardarpur		20	20	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		RHS Sardarpur Khanewal	30.5637966	71.7686271
443	Khanewal	Govt. Deggree College for Boys Jahanian		20	20	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Govt. Deggree College for Boys Jahanian Khanewal	30.0324673	71.8085155
444	Khanewal	Govt. Commerce College for Girls		18	18	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Govt. Commerce College for Girls Khanewal	0	0
445	Khanewal	The Educator School		16	16	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		The Educator School Khanewal	30.3075398	71.9399947
446	Khanewal	Govt. Technical College		15	15	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Govt. Technical College Khanewal	30.3021121	71.9335359
447	Khanewal	Youngs Scholar School Girls Branch Gulberg		15	15	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Youngs Scholar School Girls Branch Gulberg Khanewal	30.3078472	71.9446934
448	Khanewal	Islamic Aid Hospital Tulmba Road Mian		15	15	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Islamic Aid Hospital Tulmba Road Mian Khanewal	30.3907123	72.096449
449	Khanewal	Govt. Girls Model School		14	14	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Govt. Girls Model School Khanewal	0	0
450	Khanewal	Royal Guest House	14		14	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Royal Guest House Khanewal	30.314105	71.9502364
451	Khanewal	Saleem Akhtar Clinic, Hadayt Ullah Road, Mian Channu		10	10	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Saleem Akhtar Clinic, Hadayt Ullah Road, Mian Channu Khanewal	30.4390471	72.3499757
452	Khanewal	Alghani Children Clinic, Shaheen Chowk, Mian Channu		10	10	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Alghani Children Clinic, Shaheen Chowk, Mian Channu Khanewal	30.436226	72.3450706
453	Khanewal	Doctors hospital Shaheen Chowk, Mian Channu		10	10	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Doctors hospital Shaheen Chowk, Mian Channu Khanewal	30.4398501	72.3526562
454	Khanewal	Specialist Hospital Nawab Colony, Mian Channu		10	10	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Specialist Hospital Nawab Colony, Mian Channu Khanewal	30.4404058	72.3480129
455	Khanewal	Ghufar General Hospital Tulamaba Road. Mian Channu		10	10	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Ghufar General Hospital Tulamaba Road. Mian Channu Khanewal	30.5294126	72.2370866
456	Khanewal	Royal Guest House, Khanewal	10		10	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Royal Guest House, Khanewal Khanewal	30.2913598	71.9309092
457	Khanewal	Govt. Boys Degree College Khanewal		9	9	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		Govt. Boys Degree College Khanewal Khanewal	30.2959787	71.9234491
458	Khanewal	Awas Clinic, Saddar Colony, Mian Channu		8	8	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Awas Clinic, Saddar Colony, Mian Channu Khanewal	0	0
459	Khanewal	Shifa Medical Center, Hadayt Ullah Road, Mian Channu		8	8	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Shifa Medical Center, Hadayt Ullah Road, Mian Channu Khanewal	30.4420665	72.3547333
460	Khanewal	Shahbaz Clinic Nishtar Road Mian Channu		8	8	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Shahbaz Clinic Nishtar Road Mian Channu Khanewal	30.4455716	72.3553066
461	Khanewal	Umar Hospital Near Railway Gate Mian		8	8	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Umar Hospital Near Railway Gate Mian Khanewal	0	0
462	Khanewal	Majeed Hospital Block NO. 11 Khanewal		8	8	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Majeed Hospital Block NO. 11 Khanewal Khanewal	30.2983008	71.9207149
463	Khanewal	New Moon Hotel, Mian Channu	8		8	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		New Moon Hotel, Mian Channu Khanewal	30.299067	71.924196
464	Khanewal	RHS Kukar Hatta		7	7	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Government		RHS Kukar Hatta Khanewal	30.404612	71.761879
465	Khanewal	Fareha Hospital Tulamba Road Mian		7	7	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Fareha Hospital Tulamba Road Mian Khanewal	0	0
466	Khanewal	Al-Shifa Hudi Jod Near Chowngi Korary Wali, Kabirwala		7	7	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Al-Shifa Hudi Jod Near Chowngi Korary Wali, Kabirwala Khanewal	0	0
467	Khanewal	Javed Hotel, Khanewal	7		7	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Javed Hotel, Khanewal Khanewal	30.302768	71.922059
468	Khanewal	Khanewal Guest House	6		6	Electricity, Water, Sui Gas, Boundry Wall, Bathroom	Private		Khanewal Guest House Khanewal	30.314262	71.952865
